marathon,edition,date,location
Boston Marathon,2003 Boston Marathon,2003-04-21,Boston
Boston Marathon,2004 Boston Marathon,2004-04-19,Boston
Boston Marathon,2005 Boston Marathon,2005-04-18,Boston
Boston Marathon,2006 Boston Marathon,2006-04-17,Boston
Boston Marathon,2007 Boston Marathon,2007-04-16,Boston
Boston Marathon,2008 Boston Marathon,2008-04-21,Boston
Boston Marathon,2009 Boston Marathon,2009-04-20,Boston
Boston Marathon,2010 Boston Marathon,2010-04-19,Boston
Boston Marathon,2011 Boston Marathon,2011-04-18,Boston
Boston Marathon,2012 Boston Marathon,2012-04-16,Boston
Boston Marathon,2013 Boston Marathon,2013-04-21,Boston
Boston Marathon,2014 Boston Marathon,2014-04-21,Boston
Boston Marathon,2015 Boston Marathon,2015-04-20,Boston
Boston Marathon,2016 Boston Marathon,2016-04-18,Boston
Boston Marathon,2017 Boston Marathon,2017-04-17,Boston
Boston Marathon,2018 Boston Marathon,2018-04-16,Boston
Boston Marathon,2019 Boston Marathon,2019-04-15,Boston
Boston Marathon,2020 Boston Marathon,2020-01-01,Boston
Boston Marathon,2021 Boston Marathon,2021-10-11,Boston
Boston Marathon,2022 Boston Marathon,2022-04-18,Boston
